time,w1,w2,wb,acc
121,3.568759,-2.048298,0.914648,0.879000
122,3.568759,-2.048298,0.914648,0.879000
123,3.568759,-2.048298,0.914648,0.879000
124,3.568759,-2.048298,0.914648,0.879000
125,3.568759,-2.048298,0.914648,0.879000
126,3.568759,-2.048298,0.914648,0.879000
127,3.568759,-2.048298,0.914648,0.879000
128,3.568759,-2.048298,0.914648,0.879000
129,3.568759,-2.048298,0.914648,0.879000
130,3.568759,-2.048298,0.914648,0.879000
131,2.828759,-3.148298,0.934648,0.974000
132,2.828759,-3.148298,0.934648,0.974000
133,2.828759,-3.148298,0.934648,0.974000
134,2.828759,-3.148298,0.934648,0.974000
135,2.828759,-3.148298,0.934648,0.974000
136,2.828759,-3.148298,0.934648,0.974000
137,4.208759,-1.868298,0.954648,0.838000
138,2.508759,-3.688298,0.974648,0.920000
139,2.508759,-3.688298,0.974648,0.920000
140,2.508759,-3.688298,0.974648,0.920000
141,2.508759,-3.688298,0.974648,0.920000
142,2.508759,-3.688298,0.974648,0.920000
143,2.508759,-3.688298,0.974648,0.920000
144,2.508759,-3.688298,0.974648,0.920000
145,2.508759,-3.688298,0.974648,0.920000
146,2.508759,-3.688298,0.974648,0.920000
147,2.508759,-3.688298,0.974648,0.920000
148,2.508759,-3.688298,0.974648,0.920000
149,2.508759,-3.688298,0.974648,0.920000
150,2.508759,-3.688298,0.974648,0.920000
151,2.508759,-3.688298,0.974648,0.920000
152,2.508759,-3.688298,0.974648,0.920000
153,2.508759,-3.688298,0.974648,0.920000
154,3.328759,-3.008298,0.994648,0.972000
155,3.328759,-3.008298,0.994648,0.972000
156,3.328759,-3.008298,0.994648,0.972000
157,3.328759,-3.008298,0.994648,0.972000
158,3.328759,-3.008298,0.994648,0.972000
159,3.328759,-3.008298,0.994648,0.972000
160,3.328759,-3.008298,0.994648,0.972000
161,3.328759,-3.008298,0.994648,0.972000
162,3.328759,-3.008298,0.994648,0.972000
163,3.328759,-3.008298,0.994648,0.972000
164,3.328759,-3.008298,0.994648,0.972000
165,3.328759,-3.008298,0.994648,0.972000
166,3.328759,-3.008298,0.994648,0.972000
